OrderID,CustomerID,ProductID,OrderDate,ShipDate,Quantity,GrossRevenue,DiscountPct,NetRevenue,COGS,GrossMargin,LeadTimeDays,ShipMode
ORD-00001,CUST-014,GFV-S004,2023-01-21,2023-01-23,5,44.95,0.1,40.46,17.5,22.96,2,Air
ORD-00002,CUST-001,GFV-S003,2023-01-19,2023-01-24,5,59.95,0.05,56.95,20.0,36.95,5,Sea
ORD-00003,CUST-011,GFV-S004,2023-01-23,2023-01-29,10,89.9,0,89.9,35.0,54.9,6,Air
ORD-00004,CUST-013,GFV-F003,2023-01-25,2023-02-02,5,39.95,0,39.95,16.0,23.95,8,Road
ORD-00005,CUST-002,GFV-O001,2023-01-04,2023-01-06,20,299.8,0.1,269.82,110.0,159.82,2,Courier
ORD-00006,CUST-018,GFV-C003,2023-01-18,2023-01-20,10,199.9,0.1,179.91,75.0,104.91,2,Road
ORD-00007,CUST-002,GFV-A004,2023-01-19,2023-01-22,5,34.95,0,34.95,12.5,22.45,3,Air
ORD-00008,CUST-003,GFV-F001,2023-01-28,2023-01-31,10,69.9,0.1,62.91,30.0,32.91,3,Sea
ORD-00009,CUST-013,GFV-G001,2023-01-12,2023-01-16,50,699.5,0.05,664.52,250.0,414.52,4,Sea
ORD-00010,CUST-004,GFV-O002,2023-01-18,2023-01-25,5,149.95,0.15,127.46,50.0,77.46,7,Sea
ORD-00011,CUST-015,GFV-C002,2023-01-22,2023-01-26,5,114.95,0,114.95,42.5,72.45,4,Road
ORD-00012,CUST-005,GFV-A001,2023-01-13,2023-01-17,50,399.5,0,399.5,140.0,259.5,4,Courier
ORD-00013,CUST-013,GFV-S001,2023-01-13,2023-01-22,5,64.95,0,64.95,22.5,42.45,9,Road
ORD-00014,CUST-017,GFV-O002,2023-01-24,2023-01-30,10,299.9,0.2,239.92,100.0,139.92,6,Sea
ORD-00015,CUST-014,GFV-C004,2023-01-17,2023-01-22,5,89.95,0,89.95,35.0,54.95,5,Courier
ORD-00016,CUST-008,GFV-O004,2023-01-20,2023-01-22,10,199.9,0.2,159.92,75.0,84.92,2,Air
ORD-00017,CUST-013,GFV-N003,2023-01-22,2023-01-29,20,239.8,0.1,215.82,90.0,125.82,7,Road
ORD-00018,CUST-004,GFV-C001,2023-01-04,2023-01-08,100,2499.0,0.15,2124.15,900.0,1224.15,4,Road
ORD-00019,CUST-011,GFV-C004,2023-01-17,2023-01-24,50,899.5,0,899.5,350.0,549.5,7,Sea
ORD-00020,CUST-004,GFV-G003,2023-01-05,2023-01-09,50,349.5,0.15,297.07,140.0,157.07,4,Road
ORD-00021,CUST-018,GFV-F002,2023-01-16,2023-01-17,5,49.95,0,49.95,19.0,30.95,1,Air
ORD-00022,CUST-016,GFV-G003,2023-01-03,2023-01-10,10,69.9,0,69.9,28.0,41.9,7,Courier
ORD-00023,CUST-006,GFV-A002,2023-01-31,2023-02-05,10,89.9,0,89.9,32.0,57.9,5,Sea
ORD-00024,CUST-020,GFV-A003,2023-01-23,2023-01-27,10,94.9,0.15,80.67,35.0,45.67,4,Courier
ORD-00025,CUST-002,GFV-C001,2023-01-04,2023-01-07,10,249.9,0,249.9,90.0,159.9,3,Sea
ORD-00026,CUST-013,GFV-S004,2023-01-01,2023-01-03,2,17.98,0,17.98,7.0,10.98,2,Road
ORD-00027,CUST-006,GFV-N001,2023-01-03,2023-01-08,5,124.95,0,124.95,50.0,74.95,5,Courier
ORD-00028,CUST-016,GFV-S003,2023-01-08,2023-01-16,2,23.98,0.1,21.58,8.0,13.58,8,Road
ORD-00029,CUST-017,GFV-C002,2023-01-14,2023-01-19,20,459.8,0.2,367.84,170.0,197.84,5,Air
ORD-00030,CUST-007,GFV-C004,2023-01-02,2023-01-07,5,89.95,0,89.95,35.0,54.95,5,Courier
ORD-00031,CUST-006,GFV-S004,2023-01-05,2023-01-10,50,449.5,0,449.5,175.0,274.5,5,Air
ORD-00032,CUST-011,GFV-C001,2023-01-02,2023-01-08,100,2499.0,0.15,2124.15,900.0,1224.15,6,Sea
ORD-00033,CUST-010,GFV-O002,2023-01-06,2023-01-11,50,1499.5,0,1499.5,500.0,999.5,5,Air
ORD-00034,CUST-015,GFV-O004,2023-01-13,2023-01-17,5,99.95,0.1,89.95,37.5,52.45,4,Courier
ORD-00035,CUST-005,GFV-C002,2023-01-05,2023-01-08,10,229.9,0.05,218.41,85.0,133.41,3,Road
ORD-00036,CUST-009,GFV-N002,2023-01-02,2023-01-04,5,44.95,0.2,35.96,17.5,18.46,2,Air
ORD-00037,CUST-012,GFV-A004,2023-01-28,2023-01-31,50,349.5,0.05,332.02,125.0,207.02,3,Sea
ORD-00038,CUST-012,GFV-O003,2023-01-19,2023-01-25,20,699.8,0.05,664.81,260.0,404.81,6,Road
ORD-00039,CUST-013,GFV-F003,2023-01-30,2023-02-03,5,39.95,0,39.95,16.0,23.95,4,Road
ORD-00040,CUST-014,GFV-C003,2023-01-15,2023-01-19,1,19.99,0.05,18.99,7.5,11.49,4,Air
ORD-00041,CUST-011,GFV-S001,2023-01-03,2023-01-08,50,649.5,0.15,552.07,225.0,327.07,5,Sea
ORD-00042,CUST-008,GFV-N003,2023-01-12,2023-01-16,20,239.8,0.05,227.81,90.0,137.81,4,Air
ORD-00043,CUST-006,GFV-A004,2023-01-22,2023-01-30,2,13.98,0.15,11.88,5.0,6.88,8,Road
ORD-00044,CUST-014,GFV-S001,2023-01-04,2023-01-13,5,64.95,0.05,61.7,22.5,39.2,9,Road
ORD-00045,CUST-016,GFV-N002,2023-01-07,2023-01-14,10,89.9,0.15,76.42,35.0,41.42,7,Air
ORD-00046,CUST-016,GFV-C002,2023-01-03,2023-01-09,1,22.99,0.1,20.69,8.5,12.19,6,Road
ORD-00047,CUST-011,GFV-O003,2023-01-06,2023-01-13,10,349.9,0,349.9,130.0,219.9,7,Sea
ORD-00048,CUST-008,GFV-N003,2023-01-18,2023-01-19,2,23.98,0,23.98,9.0,14.98,1,Road
ORD-00049,CUST-015,GFV-C002,2023-01-12,2023-01-21,50,1149.5,0,1149.5,425.0,724.5,9,Sea
ORD-00050,CUST-015,GFV-O003,2023-01-22,2023-01-24,100,3499.0,0.1,3149.1,1300.0,1849.1,2,Sea
ORD-00051,CUST-015,GFV-S002,2023-01-28,2023-01-31,50,499.5,0,499.5,175.0,324.5,3,Road
ORD-00052,CUST-016,GFV-G002,2023-01-26,2023-02-05,50,399.5,0,399.5,150.0,249.5,10,Air
ORD-00053,CUST-016,GFV-S004,2023-01-13,2023-01-22,5,44.95,0.15,38.21,17.5,20.71,9,Road
ORD-00054,CUST-017,GFV-S004,2023-01-10,2023-01-18,1,8.99,0,8.99,3.5,5.49,8,Road
ORD-00055,CUST-019,GFV-F001,2023-01-09,2023-01-18,10,69.9,0.05,66.41,30.0,36.41,9,Road
ORD-00056,CUST-017,GFV-F001,2023-01-31,2023-02-01,5,34.95,0.2,27.96,15.0,12.96,1,Road
ORD-00057,CUST-008,GFV-G002,2023-01-02,2023-01-04,20,159.8,0.05,151.81,60.0,91.81,2,Air
ORD-00058,CUST-004,GFV-C002,2023-01-13,2023-01-22,20,459.8,0,459.8,170.0,289.8,9,Sea
ORD-00059,CUST-019,GFV-F003,2023-01-12,2023-01-17,20,159.8,0.1,143.82,64.0,79.82,5,Air
ORD-00060,CUST-011,GFV-A004,2023-01-24,2023-02-02,10,69.9,0.05,66.41,25.0,41.41,9,Road
ORD-00061,CUST-008,GFV-O002,2023-01-18,2023-01-20,20,599.8,0.15,509.83,200.0,309.83,2,Road
ORD-00062,CUST-001,GFV-F002,2023-01-13,2023-01-18,5,49.95,0.1,44.96,19.0,25.96,5,Road
ORD-00063,CUST-013,GFV-N002,2023-01-15,2023-01-20,10,89.9,0.15,76.42,35.0,41.42,5,Sea
ORD-00064,CUST-011,GFV-A003,2023-01-22,2023-01-24,20,189.8,0,189.8,70.0,119.8,2,Sea
ORD-00065,CUST-016,GFV-S001,2023-01-22,2023-01-26,1,12.99,0,12.99,4.5,8.49,4,Courier
ORD-00066,CUST-002,GFV-O003,2023-01-20,2023-01-28,50,1749.5,0.05,1662.02,650.0,1012.02,8,Courier
ORD-00067,CUST-004,GFV-G001,2023-01-16,2023-01-20,1,13.99,0.1,12.59,5.0,7.59,4,Air
ORD-00068,CUST-004,GFV-G001,2023-01-25,2023-01-30,10,139.9,0,139.9,50.0,89.9,5,Sea
ORD-00069,CUST-009,GFV-O004,2023-01-30,2023-02-07,20,399.8,0.2,319.84,150.0,169.84,8,Road
ORD-00070,CUST-009,GFV-G002,2023-01-31,2023-02-07,50,399.5,0.05,379.52,150.0,229.52,7,Courier
ORD-00071,CUST-017,GFV-O004,2023-01-29,2023-02-01,5,99.95,0,99.95,37.5,62.45,3,Road
ORD-00072,CUST-010,GFV-S004,2023-01-25,2023-02-02,5,44.95,0,44.95,17.5,27.45,8,Road
ORD-00073,CUST-007,GFV-N003,2023-01-08,2023-01-12,2,23.98,0,23.98,9.0,14.98,4,Courier
ORD-00074,CUST-005,GFV-O003,2023-01-23,2023-01-26,10,349.9,0.05,332.4,130.0,202.4,3,Courier
ORD-00075,CUST-008,GFV-G003,2023-01-02,2023-01-05,10,69.9,0.1,62.91,28.0,34.91,3,Courier
ORD-00076,CUST-007,GFV-G003,2023-01-16,2023-01-17,10,69.9,0.15,59.42,28.0,31.42,1,Courier
